nivel_carrera,simoleons,nivel_habilidad,num_amigos,tiene_pareja,num_mascotas,horas_ocio,num_hijos,nivel_social,horas_trabajo,nivel_fitness,tiene_enemigos,moodlets_positivos,moodlets_negativos,num_logros,aspiracion,rasgo,carrera,etapa_vida,tipo_hogar,mundo,animo_score,feliz
2,22384,7,12,0,3,7.5,3,1,7.7,3,0,5,10,20,Creatividad,Artístico,Negocios,Adulto_Mayor,Casa_Propia,Windenburg,41.1,0
5,44175,4,10,1,4,7.8,0,1,6.7,6,0,7,9,14,Familia,Ermitaño,Derecho,Adulto_Joven,Departamento,Windenburg,77.1,1
5,69118,1,7,0,4,5.4,4,6,4.0,3,1,10,8,33,Amor,Sociable,Negocios,Adolescente,Casa_Familiar,San_Myshuno,62.6,0
4,88160,5,18,0,1,11.9,3,1,11.9,6,1,6,5,31,Naturaleza,Ermitaño,Ingeniería,Adulto_Mayor,Casa_Familiar,Windenburg,48.4,0
1,59956,8,3,0,1,11.8,4,3,8.3,7,0,7,10,25,Familia,Perezoso,Ingeniería,Adulto_Joven,Compartido,Windenburg,74.1,1
7,4008,0,11,1,3,5.1,0,10,8.5,3,0,2,9,32,Creatividad,Ermitaño,Arte,Adulto_Mayor,Casa_Propia,Willow_Creek,44.8,0
3,9964,2,18,1,2,3.1,0,2,6.6,5,1,2,8,41,Riqueza,Artístico,Educación,Adulto_Joven,Compartido,San_Myshuno,42.0,0
5,44194,3,5,1,0,6.8,5,10,0.7,3,0,4,9,25,Fama,Creativo,Ingeniería,Niño,Compartido,Willow_Creek,71.4,1
8,61340,3,8,0,1,2.2,0,8,7.0,1,0,4,9,45,Conocimiento,Artístico,Atletismo,Adulto_Mayor,Compartido,Pleasantview,70.1,1
2,82509,6,14,0,4,4.0,4,4,5.7,1,0,6,6,20,Fama,Ermitaño,Medicina,Adulto,Departamento,Del_Sol_Valley,61.5,0
7,37477,10,2,1,4,5.4,4,8,5.0,1,1,10,0,50,Familia,Creativo,Tecnología,Adolescente,Casa_Propia,Willow_Creek,79.0,1
4,17827,7,5,1,0,5.4,2,7,5.6,10,1,9,10,44,Naturaleza,Bromista,Tecnología,Adulto_Mayor,Departamento,Pleasantview,59.6,0
6,14247,5,15,0,3,2.5,2,7,10.2,1,1,9,5,1,Naturaleza,Alegre,Educación,Niño,Casa_Familiar,Willow_Creek,61.7,0
1,61611,10,1,0,3,7.1,0,1,10.4,9,1,2,7,46,Amor,Bromista,Educación,Adulto_Mayor,Departamento,Del_Sol_Valley,39.4,0
5,99829,8,7,0,3,8.6,4,1,10.4,4,0,2,10,16,Creatividad,Bromista,Tecnología,Adulto_Joven,Casa_Propia,Del_Sol_Valley,53.1,0
4,7089,6,12,0,1,8.6,1,8,6.8,3,0,1,6,48,Conocimiento,Creativo,Negocios,Adulto_Joven,Departamento,San_Myshuno,75.4,1
2,1021,0,17,0,3,11.2,5,4,9.0,2,1,8,2,35,Conocimiento,Artístico,Derecho,Niño,Departamento,Willow_Creek,68.5,0
6,1136,2,2,0,2,1.1,3,5,3.2,9,1,9,10,32,Riqueza,Alegre,Arte,Niño,Compartido,Windenburg,58.7,0
7,54659,10,11,1,0,2.2,0,7,1.9,1,1,3,4,36,Atletismo,Perezoso,Educación,Adulto,Compartido,San_Myshuno,60.4,0
4,31958,6,14,1,3,6.1,5,5,7.6,7,0,10,3,46,Amor,Ermitaño,Ingeniería,Adulto_Joven,Departamento,Oasis_Springs,76.1,1
7,82501,10,8,1,4,6.8,5,4,10.8,8,1,9,8,20,Familia,Creativo,Negocios,Niño,Casa_Propia,Willow_Creek,91.5,1
4,80584,0,9,0,2,2.9,4,2,8.1,1,1,0,2,7,Familia,Creativo,Educación,Adulto,Departamento,Del_Sol_Valley,44.6,0
9,50292,1,9,0,0,4.2,5,10,11.1,6,1,6,1,0,Fama,Sociable,Educación,Adulto,Casa_Propia,Pleasantview,57.3,0
3,4229,1,18,1,4,2.2,4,4,5.3,2,1,10,5,35,Familia,Ambicioso,Derecho,Adolescente,Compartido,Del_Sol_Valley,68.4,0
8,57068,1,12,0,0,7.6,3,8,5.0,5,0,0,10,21,Creatividad,Alegre,Arte,Adulto,Departamento,Oasis_Springs,64.7,0
4,36543,3,8,0,1,6.7,0,2,10.6,4,0,8,2,48,Fama,Sociable,Tecnología,Adulto_Mayor,Departamento,San_Myshuno,63.7,0
6,83656,10,0,1,1,9.6,2,4,6.8,7,0,2,9,44,Conocimiento,Ambicioso,Arte,Adulto_Joven,Compartido,Oasis_Springs,63.7,0
1,72890,0,8,0,2,8.8,1,1,2.9,7,1,10,8,15,Creatividad,Alegre,Atletismo,Adolescente,Casa_Familiar,San_Myshuno,49.3,0
1,95844,10,17,1,1,3.8,2,1,0.4,3,0,10,3,48,Fama,Ambicioso,Derecho,Adulto_Mayor,Departamento,Del_Sol_Valley,89.1,1
10,36976,0,9,1,4,10.6,4,5,3.1,5,1,0,8,23,Creatividad,Alegre,Derecho,Adulto_Mayor,Compartido,Oasis_Springs,62.4,0
1,32369,0,8,1,1,2.1,5,4,0.1,8,0,8,8,11,Riqueza,Ermitaño,Ingeniería,Adulto_Joven,Compartido,Willow_Creek,60.4,0
6,47933,0,14,0,2,8.8,2,2,11.8,8,1,10,7,36,Conocimiento,Ermitaño,Ingeniería,Adulto_Joven,Compartido,Pleasantview,64.0,0
5,82533,8,20,1,0,8.7,1,3,1.9,4,1,4,5,35,Naturaleza,Ambicioso,Atletismo,Adulto_Mayor,Departamento,Del_Sol_Valley,77.6,1
7,50085,1,3,0,2,3.3,5,2,1.9,0,0,1,4,22,Amor,Ermitaño,Atletismo,Niño,Casa_Propia,Del_Sol_Valley,49.5,0
1,33661,1,19,1,1,2.7,3,8,8.7,7,1,7,4,18,Conocimiento,Sociable,Arte,Adolescente,Casa_Propia,Windenburg,74.4,1
2,90806,9,7,0,1,1.5,0,4,11.3,1,1,0,3,12,Amor,Ermitaño,Educación,Adulto_Joven,Casa_Propia,Pleasantview,51.4,0
4,39198,7,12,1,2,8.7,2,4,2.0,8,0,10,0,49,Familia,Creativo,Ingeniería,Adulto,Casa_Propia,Del_Sol_Valley,100.0,1
10,87602,3,5,0,3,5.1,3,5,2.6,7,1,9,10,14,Conocimiento,Ambicioso,Educación,Adulto,Casa_Familiar,Oasis_Springs,75.1,1
4,63883,8,0,1,4,14.0,0,2,4.2,8,1,10,2,17,Creatividad,Artístico,Tecnología,Adolescente,Casa_Propia,Willow_Creek,74.2,1
6,6456,9,8,1,1,8.9,3,3,5.9,7,1,8,4,48,Amor,Creativo,Tecnología,Adulto_Mayor,Casa_Familiar,Oasis_Springs,94.3,1
6,49342,5,18,0,1,0.1,3,3,0.9,6,1,7,5,23,Atletismo,Bromista,Negocios,Adulto,Casa_Familiar,Del_Sol_Valley,63.1,0
5,69252,9,19,0,1,5.2,4,10,0.5,2,1,4,8,39,Familia,Sociable,Educación,Adulto_Joven,Casa_Propia,San_Myshuno,71.6,1
9,91515,3,7,0,4,0.2,2,7,0.0,10,0,0,5,20,Fama,Sociable,Ingeniería,Adulto_Mayor,Departamento,Windenburg,67.0,0
8,54338,9,13,1,0,8.8,1,10,12.0,9,0,9,4,32,Conocimiento,Sociable,Medicina,Niño,Departamento,San_Myshuno,87.9,1
5,1561,7,16,1,0,12.8,2,9,7.8,3,1,4,6,36,Amor,Bromista,Tecnología,Adulto,Departamento,Del_Sol_Valley,69.7,0
4,35516,2,10,0,2,10.4,1,3,10.8,7,1,9,6,49,Naturaleza,Alegre,Atletismo,Adulto_Mayor,Departamento,Windenburg,61.8,0
3,96867,6,17,1,1,3.7,4,1,9.2,5,0,2,5,26,Familia,Bromista,Educación,Adulto,Departamento,Willow_Creek,63.1,0
10,49306,3,2,1,1,2.5,2,5,10.9,1,0,0,4,12,Familia,Bromista,Negocios,Adulto_Joven,Compartido,Pleasantview,67.3,0
2,38516,0,19,0,2,12.3,3,4,4.8,6,0,3,9,10,Riqueza,Bromista,Ingeniería,Adolescente,Departamento,Pleasantview,57.8,0
2,87993,5,12,0,4,1.7,3,7,9.7,7,0,0,5,39,Creatividad,Ermitaño,Medicina,Adolescente,Casa_Propia,Willow_Creek,62.9,0
3,41769,0,3,1,1,9.9,5,2,11.7,10,0,8,8,35,Naturaleza,Bromista,Tecnología,Adulto_Joven,Departamento,San_Myshuno,46.5,0
9,77329,4,16,0,3,3.4,0,2,6.2,2,0,6,10,18,Naturaleza,Perezoso,Medicina,Adulto_Mayor,Casa_Familiar,Pleasantview,78.3,1
7,2171,9,19,0,3,4.2,0,3,9.7,7,0,1,9,0,Conocimiento,Sociable,Medicina,Adulto_Joven,Casa_Familiar,Pleasantview,51.2,0
10,56851,0,7,1,4,0.7,5,7,11.6,1,1,0,9,39,Naturaleza,Sociable,Tecnología,Niño,Casa_Propia,Del_Sol_Valley,54.0,0
8,2457,7,9,1,4,2.4,5,2,8.8,1,0,0,4,29,Naturaleza,Bromista,Arte,Adulto_Joven,Compartido,Oasis_Springs,67.4,0
5,17642,2,18,0,3,0.6,5,5,0.1,10,0,7,3,9,Conocimiento,Sociable,Educación,Niño,Casa_Familiar,Pleasantview,73.4,1
1,54521,6,11,1,4,7.3,1,3,9.6,10,0,7,8,47,Fama,Perezoso,Tecnología,Adulto_Mayor,Casa_Propia,Del_Sol_Valley,66.0,0
9,61904,6,7,0,4,6.3,0,1,1.3,0,1,3,0,36,Creatividad,Alegre,Arte,Adulto_Joven,Casa_Propia,Del_Sol_Valley,74.4,1
7,11927,8,13,1,3,7.5,2,2,11.3,6,0,9,8,18,Amor,Ambicioso,Educación,Adolescente,Casa_Propia,Windenburg,68.5,0
1,49853,7,3,1,0,0.9,5,3,10.5,3,1,5,4,29,Familia,Ambicioso,Educación,Adulto,Departamento,Pleasantview,47.8,0
10,40692,2,7,1,1,11.3,5,9,3.9,4,1,6,0,21,Familia,Sociable,Educación,Adulto_Joven,Casa_Familiar,Windenburg,64.6,0
7,44744,4,17,1,3,1.7,5,2,7.6,3,1,10,0,17,Amor,Perezoso,Tecnología,Adulto_Joven,Departamento,Del_Sol_Valley,85.6,1
7,81069,6,1,1,4,11.6,1,6,11.6,7,0,1,9,0,Naturaleza,Artístico,Arte,Adulto_Joven,Departamento,Del_Sol_Valley,80.6,1
4,94389,3,11,0,0,4.5,1,9,3.9,6,1,8,5,40,Amor,Sociable,Educación,Adulto_Mayor,Departamento,Windenburg,85.7,1
4,7575,9,14,0,4,6.2,1,10,9.0,1,0,5,9,10,Naturaleza,Creativo,Educación,Adulto_Mayor,Departamento,Del_Sol_Valley,70.0,1
4,99264,6,10,1,0,9.1,5,5,3.9,10,1,3,0,40,Riqueza,Perezoso,Derecho,Adolescente,Casa_Familiar,San_Myshuno,80.5,1
1,5192,7,8,1,0,8.5,0,1,6.1,8,0,7,2,21,Naturaleza,Alegre,Derecho,Adolescente,Casa_Propia,Pleasantview,76.3,1
5,95141,7,19,1,0,7.9,3,2,11.3,4,1,9,5,41,Naturaleza,Bromista,Medicina,Adulto_Mayor,Departamento,Windenburg,77.0,1
1,61618,3,16,0,3,5.6,0,6,5.5,4,1,10,4,45,Naturaleza,Bromista,Derecho,Adulto,Compartido,Windenburg,65.9,0
6,73914,7,17,1,3,6.7,4,6,0.2,7,1,5,8,46,Familia,Creativo,Arte,Niño,Casa_Propia,San_Myshuno,74.6,1
3,24384,7,2,0,4,0.9,1,10,6.1,9,0,5,3,42,Conocimiento,Ambicioso,Negocios,Adulto_Joven,Casa_Propia,Windenburg,51.0,0
7,59927,8,20,1,3,2.3,3,5,3.9,4,1,4,2,46,Familia,Alegre,Negocios,Niño,Casa_Familiar,San_Myshuno,87.5,1
4,59279,3,10,0,0,10.3,2,5,10.3,7,0,10,8,50,Creatividad,Ambicioso,Atletismo,Niño,Departamento,Windenburg,70.7,1
3,32011,6,14,0,1,9.4,1,5,9.7,9,0,10,1,32,Naturaleza,Alegre,Educación,Niño,Casa_Propia,Willow_Creek,87.4,1
2,50374,9,7,1,1,4.7,4,3,9.3,1,0,5,2,2,Atletismo,Ermitaño,Derecho,Adolescente,Departamento,Oasis_Springs,65.4,0
4,94724,4,12,1,4,11.1,4,3,8.4,9,1,0,1,26,Conocimiento,Creativo,Ingeniería,Niño,Casa_Propia,Del_Sol_Valley,78.9,1
1,10846,9,14,1,3,11.3,4,10,11.8,9,0,4,4,10,Atletismo,Artístico,Atletismo,Adulto_Mayor,Casa_Propia,Del_Sol_Valley,74.6,1
3,45616,3,11,0,4,7.4,4,7,3.4,7,0,6,4,2,Atletismo,Perezoso,Negocios,Adulto_Joven,Casa_Propia,Windenburg,57.5,0
5,33748,1,11,0,4,13.7,4,9,1.0,9,1,8,0,34,Riqueza,Creativo,Negocios,Adulto_Joven,Compartido,Willow_Creek,82.1,1
7,20243,0,7,0,4,3.7,4,9,8.3,3,0,10,5,46,Amor,Bromista,Arte,Adulto_Mayor,Departamento,Willow_Creek,75.4,1
5,47933,5,20,0,2,4.1,0,9,7.6,8,0,0,6,1,Amor,Alegre,Arte,Adulto_Mayor,Departamento,Willow_Creek,61.6,0
2,11163,4,3,0,3,0.1,4,5,4.4,1,1,10,1,49,Riqueza,Ermitaño,Educación,Adulto_Mayor,Casa_Familiar,Willow_Creek,51.6,0
8,12214,2,7,0,3,2.1,2,3,0.2,10,1,2,0,11,Conocimiento,Artístico,Medicina,Niño,Departamento,Del_Sol_Valley,44.6,0
5,83595,9,17,0,2,11.5,3,2,4.4,4,1,1,7,6,Familia,Artístico,Medicina,Adulto,Casa_Propia,Windenburg,79.9,1
7,31952,9,9,0,2,8.8,0,9,2.0,3,0,10,6,35,Familia,Ermitaño,Medicina,Adulto_Mayor,Casa_Propia,Oasis_Springs,66.8,0
10,32883,6,0,0,1,2.7,2,3,1.8,5,1,9,5,13,Conocimiento,Sociable,Tecnología,Niño,Compartido,Del_Sol_Valley,68.7,0
1,66100,8,2,1,4,9.5,2,9,10.6,4,1,10,7,30,Naturaleza,Ambicioso,Derecho,Adulto_Mayor,Compartido,Oasis_Springs,73.8,1
10,76646,6,18,0,2,2.3,1,4,6.0,3,0,4,2,26,Atletismo,Creativo,Tecnología,Adulto_Mayor,Departamento,San_Myshuno,75.0,1
10,86564,7,20,1,1,5.7,2,2,6.2,0,1,5,2,1,Riqueza,Ermitaño,Arte,Adulto_Mayor,Casa_Propia,Windenburg,80.7,1
6,62777,2,5,1,0,14.0,5,9,1.7,3,1,8,0,38,Naturaleza,Sociable,Atletismo,Adolescente,Casa_Propia,Willow_Creek,87.8,1
1,26533,0,4,1,2,4.4,4,4,11.2,10,0,7,5,34,Atletismo,Bromista,Medicina,Niño,Departamento,Del_Sol_Valley,46.1,0
3,28424,6,5,1,4,9.5,4,7,4.5,2,0,0,7,2,Familia,Ambicioso,Ingeniería,Adulto,Compartido,San_Myshuno,57.7,0
3,70751,1,19,1,3,0.1,3,5,7.1,9,0,9,9,1,Atletismo,Ermitaño,Derecho,Adulto,Compartido,Del_Sol_Valley,55.8,0
6,85082,1,0,0,2,4.2,5,10,0.9,7,1,0,4,9,Atletismo,Bromista,Arte,Adulto,Compartido,Pleasantview,56.4,0
7,91886,5,2,1,1,4.3,4,2,6.4,6,1,1,5,46,Riqueza,Ambicioso,Educación,Adolescente,Casa_Propia,Willow_Creek,70.0,1
5,84503,3,7,1,1,11.7,0,4,1.0,9,0,2,5,35,Atletismo,Sociable,Derecho,Niño,Compartido,Willow_Creek,70.8,1
4,62723,4,20,1,2,2.4,3,8,5.3,10,1,7,4,42,Naturaleza,Bromista,Tecnología,Adulto_Mayor,Casa_Familiar,San_Myshuno,80.6,1
1,17265,6,1,1,1,4.5,2,9,10.4,5,0,6,7,14,Creatividad,Creativo,Negocios,Adulto_Joven,Casa_Propia,Del_Sol_Valley,50.4,0
10,41659,9,6,1,3,2.3,2,6,0.6,9,0,9,5,39,Atletismo,Alegre,Medicina,Adulto_Mayor,Compartido,Pleasantview,96.4,1
10,12262,0,3,0,2,6.7,2,8,4.8,7,1,10,9,42,Riqueza,Ambicioso,Medicina,Adulto_Mayor,Casa_Propia,Pleasantview,67.9,0
1,43965,3,6,0,4,3.8,0,7,3.0,2,1,1,0,27,Creatividad,Perezoso,Negocios,Adulto_Joven,Casa_Familiar,San_Myshuno,52.0,0
4,60091,3,14,0,0,2.5,5,10,2.3,2,0,8,3,34,Conocimiento,Creativo,Tecnología,Adolescente,Compartido,Oasis_Springs,71.8,1
10,67483,2,4,0,0,6.0,1,10,4.8,2,1,8,5,5,Fama,Ambicioso,Negocios,Adulto_Mayor,Compartido,San_Myshuno,54.1,0
4,23417,0,8,1,3,6.6,1,3,11.1,1,0,1,7,10,Amor,Ermitaño,Tecnología,Adulto,Compartido,Pleasantview,40.0,0
7,69632,2,3,0,0,4.3,3,4,5.6,1,1,0,9,5,Creatividad,Alegre,Tecnología,Adulto,Compartido,Windenburg,45.6,0
6,33285,1,0,1,3,13.5,5,10,7.4,3,1,2,7,46,Conocimiento,Alegre,Derecho,Adulto_Mayor,Departamento,Pleasantview,49.9,0
7,69606,9,10,1,1,2.0,1,3,10.0,10,1,7,2,50,Fama,Sociable,Educación,Adolescente,Casa_Familiar,Del_Sol_Valley,80.8,1
9,93678,3,6,0,3,10.0,4,7,1.4,1,0,9,2,38,Naturaleza,Alegre,Ingeniería,Adolescente,Casa_Propia,Pleasantview,89.0,1
4,29008,3,15,1,3,7.4,0,10,4.1,7,0,3,3,0,Riqueza,Alegre,Atletismo,Niño,Casa_Familiar,Willow_Creek,72.2,1
8,17638,7,0,0,3,5.4,5,8,0.5,1,0,8,2,10,Amor,Creativo,Medicina,Adolescente,Casa_Familiar,Pleasantview,65.6,0
5,96743,6,1,0,2,9.4,1,7,1.1,6,0,2,9,47,Naturaleza,Alegre,Medicina,Adulto_Joven,Casa_Familiar,Willow_Creek,73.3,1
3,47102,2,19,1,4,2.2,0,2,3.3,6,0,6,9,31,Riqueza,Bromista,Educación,Adulto_Joven,Casa_Propia,Oasis_Springs,51.7,0
1,23220,3,9,1,2,13.0,3,3,7.3,5,0,9,1,15,Naturaleza,Alegre,Negocios,Niño,Departamento,Windenburg,84.4,1
8,29561,0,18,1,0,11.7,5,3,5.3,2,0,0,2,29,Creatividad,Perezoso,Negocios,Adulto_Mayor,Compartido,Del_Sol_Valley,73.3,1
7,46863,2,2,1,3,10.4,5,1,2.3,0,0,2,10,3,Fama,Artístico,Educación,Adulto_Joven,Compartido,Del_Sol_Valley,65.3,0
9,34858,4,7,1,2,13.4,2,10,0.6,6,0,1,0,41,Creatividad,Artístico,Arte,Adulto_Joven,Compartido,Pleasantview,89.1,1
3,90514,4,14,0,0,13.2,0,9,5.8,0,1,4,10,30,Conocimiento,Artístico,Ingeniería,Adulto_Mayor,Compartido,Oasis_Springs,67.3,0
8,37072,2,5,1,3,2.8,0,8,0.4,6,0,6,2,24,Familia,Ambicioso,Negocios,Adulto_Joven,Casa_Propia,Del_Sol_Valley,74.3,1
1,47284,9,4,1,0,12.4,1,8,2.2,10,1,7,2,38,Amor,Ermitaño,Derecho,Adulto_Mayor,Casa_Familiar,Pleasantview,68.5,0
2,26073,8,2,0,4,11.1,3,9,0.7,0,1,9,9,3,Atletismo,Alegre,Derecho,Adolescente,Departamento,San_Myshuno,66.7,0
6,70621,4,7,0,0,6.1,2,8,6.9,9,1,1,2,33,Atletismo,Alegre,Educación,Adulto_Mayor,Casa_Familiar,Oasis_Springs,71.9,1
6,76373,9,14,1,1,7.4,5,3,1.9,10,1,7,9,24,Naturaleza,Bromista,Arte,Adulto_Mayor,Compartido,Willow_Creek,70.7,1
6,56480,3,6,0,1,7.9,0,3,4.5,6,1,8,8,8,Fama,Alegre,Arte,Adulto,Compartido,Pleasantview,51.9,0
9,81206,7,2,0,1,7.3,4,5,2.6,1,0,5,9,4,Familia,Creativo,Negocios,Adulto_Mayor,Compartido,Willow_Creek,70.6,1
9,27516,8,13,0,2,5.9,5,2,10.8,6,0,6,2,37,Conocimiento,Creativo,Ingeniería,Adulto,Casa_Familiar,Pleasantview,82.8,1
2,53998,6,14,1,0,8.7,4,6,7.6,0,1,10,3,9,Conocimiento,Alegre,Negocios,Adulto,Casa_Familiar,Willow_Creek,78.9,1
3,72986,3,8,0,4,11.5,5,8,5.0,5,0,10,4,46,Conocimiento,Alegre,Derecho,Adulto,Compartido,Windenburg,93.7,1
6,89941,8,5,0,4,13.3,5,3,9.8,9,0,0,10,1,Naturaleza,Perezoso,Ingeniería,Adulto_Mayor,Compartido,San_Myshuno,44.1,0
10,32784,1,15,1,0,9.3,2,3,9.8,3,0,6,2,20,Creatividad,Artístico,Medicina,Adulto,Casa_Propia,Windenburg,82.4,1
7,13751,4,15,1,1,13.3,5,2,8.5,2,1,1,10,34,Amor,Alegre,Tecnología,Adulto,Casa_Propia,San_Myshuno,62.3,0
2,78329,9,12,0,2,13.5,1,6,6.1,7,0,0,4,43,Creatividad,Ermitaño,Atletismo,Niño,Compartido,Pleasantview,61.2,0
7,50709,7,8,1,0,9.1,4,2,6.2,5,0,2,5,26,Riqueza,Alegre,Negocios,Adulto_Mayor,Departamento,Willow_Creek,75.3,1
4,5671,3,10,0,1,4.0,5,10,9.7,3,0,1,9,32,Riqueza,Artístico,Derecho,Adulto,Departamento,Windenburg,60.9,0
2,82860,4,2,0,4,7.3,4,4,1.8,6,1,0,7,26,Riqueza,Bromista,Atletismo,Niño,Compartido,Pleasantview,44.0,0
